date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:08	22175/22175	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Dec%202021%2018:46:30%20GMT	https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/index.html	(from )
21:40:10	69/69	---M-Z	200	added ('OK')	text/plain	date:Fri,%2023%20Jun%202023%2015:55:09%20GMT	https://demo.voidcoders.com/robots.txt		(from )
21:40:11	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202023%2015:55:10%20GMT	https://fonts.gstatic.com/	/home/bibek/montessori/cleaning/fonts.gstatic.com/index.html	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:11	1040/1040	---MC-	200	added ('OK')	text/css	date:Fri,%2023%20Jun%202023%2015:55:10%20GMT	https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700;800&display=swap	/home/bibek/montessori/cleaning/fonts.googleapis.com/css273fe.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:12	602/602	---MC-	200	added ('OK')	text/css	date:Fri,%2023%20Jun%202023%2015:55:11%20GMT	https://fonts.googleapis.com/css2?family=Roboto:wght@400;500;700&display=swap	/home/bibek/montessori/cleaning/fonts.googleapis.com/css2e9cf.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:13	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-601fc506-1615ea;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/bootstrap.min.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/bootstrap.min.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:14	35972/35972	---M-Z	200	added ('OK')	text/css	etag:%228c84-601fc507-1615ed;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/jquery-ui.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/jquery-ui.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:14	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-601fc509-1615ee;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/jquery.fancybox.min.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/jquery.fancybox.min.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:16	55183/55183	---M-Z	200	added ('OK')	text/css	etag:%22d78f-601fc507-1615ec;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/font-awosome.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/font-awosome.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:16	2583/2583	---M-Z	200	added ('OK')	text/css	etag:%22a17-601fc513-161600;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/flat-font/flaticon.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/flat-font/flaticon.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:17	12635/12635	---M-Z	200	added ('OK')	text/css	etag:%22315b-601fc51c-161604;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/icomoon/style.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/icomoon/style.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:18	1926/1926	---M-Z	200	added ('OK')	text/css	etag:%22786-601fc553-161609;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/icomoon/demo-files/demo.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/icomoon/demo-files/demo.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:19	618/618	---M-Z	200	added ('OK')	text/css	etag:%2226a-601fc511-1615f9;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/ticker.min.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/ticker.min.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:20	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-601fc50a-1615f0;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/owl.carousel.min.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/owl.carousel.min.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:21	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-601fc50a-1615f1;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/owl.theme.default.min.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/owl.theme.default.min.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:22	887/887	---M-Z	200	added ('OK')	text/css	etag:%22377-601fc50b-1615f2;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/sm-core-css.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/sm-core-css.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:23	10126/10126	---M-Z	200	added ('OK')	text/css	etag:%22278e-601fc50c-1615f3;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/sm-mint.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/sm-mint.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:24	2650/2650	---M-Z	200	added ('OK')	text/css	etag:%22a5a-601fc50c-1615f4;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/sm-style.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/sm-style.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:25	28765/28765	---M-Z	200	added ('OK')	text/css	etag:%22705d-601fc504-1615e9;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/aos.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/aos.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:26	58129/58129	---M-Z	200	added ('OK')	text/css	etag:%22e311-601fc504-1615e1;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/animate.min.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/animate.min.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:27	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-601fc509-1615ef;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/magnific-popup.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/magnific-popup.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
21:40:29	136308/136308	---M-Z	200	added ('OK')	text/css	etag:%2221474-601fc50e-1615f5;gz%22	https://demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/style.css	/home/bibek/montessori/cleaning/demo.voidcoders.com/htmldemo/hexa/main-files/assets/css/style.css	(from https://demo.voidcoders.com/htmldemo/hexa/main-files/index.html)
